Country,2013_energy_consumption,2013_median_masked,2014_energy_consumption,2014_median_masked,2015_energy_consumption,2015_median_masked,2016_energy_consumption,2016_median_masked,2017_energy_consumption,2017_median_masked,2018_energy_consumption,2018_median_masked,2019_energy_consumption,2019_median_masked,2020_energy_consumption,2020_median_masked,2021_energy_consumption,2021_median_masked
Madagascar,14.159686,10159.87811,15.377752,10039.91714,16.817646,9555.085995,17.63125,9522.4384,16.164988,11603.69318,15.560264,11440.05642,18.68685,12238.79139,12.630883,12334.36129,14.678847,13746.70389
Malawi,9.690505,24645.99886,9.974371,23388.123,9.610899,23186.36734,10.123318,20005.05587,10.431984,22880.10971,9.962464,23948.12714,10.147229,23293.77379,9.751647,25374.9585,9.248383,28509.25833
Malaysia,1086.7379,838082.8606,1097.6155,928057.1936,1114.5746,948879.5435,1172.3032,1011875.464,1188.4774,1088438.305,1209.5756,1190468.121,1240.7814,1173601.356,1196.4292,1202117.077,1246.6495,1241000.305
Maldives,6.577692,99.34688984,8.817265,116.7405841,6.5987864,124.6445365,7.0005317,157.5550275,7.2642756,196.5525226,8.336382,197.9787836,9.367838,208.5805129,8.90442,199.9089378,9.214026,240.3532652
Mali,14.117615,20339.58233,15.7832155,21841.98672,17.25754,24191.91906,21.920076,27491.08484,23.833948,34882.94999,24.793644,37467.61233,25.333214,39393.83024,24.256605,43766.21712,25.59745,49538.51178
Malta,26.145313,22979.88652,26.757277,23341.47239,29.281233,23029.92518,32.549335,23138.75854,37.07361,24396.50682,38.70257,24222.46311,40.33273,24350.3656,37.139946,24733.96128,39.150482,24891.75212
Mauritania,9.61238,12761.3854,11.508354,13961.96463,11.6624155,14944.16609,10.890152,17894.33252,16.321316,22204.12988,17.400463,26475.1174,18.18961,28411.07298,17.476068,27115.96943,18.407001,30359.62035
Mauritius,22.076933,14498.20386,22.75332,14281.24771,23.596943,13863.06859,24.530706,14312.15142,26.913525,16334.36129,28.407331,16806.23393,29.555481,17189.70286,24.976973,17259.22883,25.62087,18232.94015
Mexico,2242.8577,3791292.775,2230.574,3789100.316,2205.4211,3677717.386,2253.398,3714576.915,2293.2642,4010131.44,2265.2773,4019267.952,2241.414,4197602.88,2041.9174,4409108.195,2175.8943,4828571.788
"Moldova, Republic of",44.53569,35844.40284,42.5979,39660.12255,38.07466,34315.68372,38.05067,34373.99018,38.688618,39500.76929,41.25079,47667.2725,41.943604,50522.61616,40.321323,57105.01448,49.003654,77688.3321
Mongolia,58.388344,54932.20156,57.184326,52322.2862,56.871716,50830.03644,59.658356,54269.78929,65.15187,61121.65263,71.14611,65227.27191,78.48155,75043.78479,67.12849,88519.25164,75.01601,92382.45826
Montenegro,14.504869,36166.786,12.961574,36869.00757,13.335471,38517.12355,13.316369,37532.26911,12.434129,43386.12535,13.799068,42592.30098,12.898393,43908.25312,11.286774,43596.74699,11.891775,48759.18262
Morocco,213.97916,616724.9693,217.02507,663300.1387,220.8588,707948.0554,223.32423,750142.1261,233.80072,845076.2498,241.81398,831556.7388,263.84097,908693.6485,242.53397,908378.3006,269.05447,909448.2934
Mozambique,70.08058,72381.70543,77.782234,78424.40712,82.61792,81121.00956,84.95021,80877.2441,85.286446,91053.19552,70.11783,93370.5604,74.10616,94754.34508,70.10905,99942.46036,71.891975,111125.1655
Myanmar,103.47361,98495.30429,120.964806,106111.294,112.87985,115573.9978,129.81372,116174.6729,167.52669,155544.1097,172.26006,181793.348,169.58122,200525.2666,170.05164,228434.4225,164.88298,255036.8615
Namibia,20.532598,40100.13065,21.837519,40412.2386,22.858814,42446.24318,22.909967,45769.01551,23.574385,53625.85067,23.27655,54424.36304,22.642365,55558.94806,22.303202,57004.36909,22.134443,57461.19769
Nauru,0.28915864,179.2702705,0.31222987,305.6783611,0.33247906,282.9685816,0.3648832,307.5789699,0.28691924,336.8199022,0.33700904,351.9009054,0.27236113,296.5727883,0.2608771,365.5616579,0.27083334,392.3360423
Nepal,27.945059,23390.60652,30.193071,26376.45646,27.033157,29082.33915,39.73368,25777.31174,45.509377,36229.96305,49.9894,38735.56218,49.032063,45527.07657,49.24105,53719.03632,48.285286,65526.16066
Netherlands,1062.885,1617694.92,1016.3307,1568495.189,1026.0321,1455030.957,1044.014,1499754.734,1052.2062,1461933.927,1026.7698,1480842.252,1022.32947,1443724.546,990.14575,1346550.113,1014.6149,1291189.903
New Zealand,239.56792,170818.4647,250.67665,173513.8027,252.19344,172934.9938,255.68533,168911.7113,259.8468,184007.1407,258.47,176924.4623,263.68475,179641.9042,239.25703,179426.3411,235.5494,173013.8398
Nicaragua,24.426323,41937.50463,25.913784,45074.14448,28.355658,46517.26969,28.442665,47923.50374,28.35997,58097.64483,28.144852,62182.6954,28.157967,58376.3317,28.629322,59411.03523,29.219433,57471.36287
Niger,10.34247,19460.87509,9.81472,20692.43725,10.3649645,16105.24243,9.681235,15529.03919,9.415173,17985.52675,10.389251,20294.77662,10.982877,22660.29394,10.765667,26126.76584,10.34748,30636.88813
Nigeria,444.87653,709788.2404,485.73407,677124.796,459.22278,746912.2024,469.5742,565846.721,456.4197,702432.0021,488.3947,829913.5425,504.77087,781075.8484,509.3741,735077.2449,543.7368,742988.3207
Norway,524.0741,1232193.509,542.8855,801361.9959,550.1978,968025.4943,558.5242,1102048,561.08185,1205856.752,552.5391,1220390.128,516.76984,1295432.059,557.34674,1002192.829,568.4789,1325778.268
Oman,317.48486,747115.8514,315.79758,827481.6672,337.249,842963.3998,338.48645,899927.2781,353.37772,932642.485,375.74258,938957.0492,373.15045,938448.8249,360.4911,841207.2494,393.38873,838170.108
Pakistan,751.74243,779758.1835,775.93536,728739.8453,815.85895,710708.6727,542.20074,740652.3499,940.99817,966552.4579,971.03046,1019429.81,982.5163,1005483.382,977.2168,1014074.704,1083.7913,1098310.02
Panama,100.602745,77387.67913,102.87565,81042.53287,112.3791,87238.61509,118.755165,85893.69455,127.71585,102044.4098,130.1864,108360.2087,117.984116,112164.4935,118.70061,113849.6574,117.77596,113346.5053
Papua New Guinea,22.518286,20611.73925,23.83847,34897.79104,27.527002,25340.79334,29.219704,28304.06154,28.238922,25123.38052,29.388498,26107.60842,30.149662,27464.44742,21.09696,32263.53892,21.12761,33180.11346
Paraguay,141.21852,258272.9192,133.65765,271631.4279,137.09798,282460.4889,154.90407,295829.3983,148.94304,343068.9816,149.09532,347298.7408,129.97318,335933.5787,122.400375,376401.5102,105.80124,420937.8747
Peru,262.58148,424107.0133,268.82904,418828.8681,281.66946,419236.6901,298.93784,501116.9393,303.5903,488492.2894,318.42453,510674.0675,326.58514,561726.1005,287.86343,534079.6078,327.408,578730.2831
Philippines,384.94003,201377.4825,404.6579,217122.8803,443.82196,238707.254,484.6147,243893.9749,531.86365,268696.9401,549.69855,304732.6458,566.12146,316014.246,513.7529,323672.7934,545.51025,340499.5994
Poland,1131.3181,2448725.652,1089.3545,2251130.469,1103.0131,2133080.846,1150.2451,2206723.479,1208.289,2362574.135,1222.0825,2534060.95,1187.2677,2477917.998,1139.2343,2381336.503,1224.7583,2874547.304
Portugal,289.6614,978895.821,291.7736,1000873.044,289.52225,999367.6975,309.8667,1000921.552,301.87787,1051942.822,307.7067,1008590.809,293.05664,1022916.244,265.24768,911064.2408,266.48996,916555.2454
Qatar,482.34198,520039.6888,521.48706,565644.9406,593.3197,599643.1277,582.5708,631552.6564,564.08673,698701.1447,558.8765,751947.8301,583.49774,815019.9481,511.53665,848886.1442,541.8489,875489.0437
Republic of Korea,3225.866,1576220.151,3252.673,1456228.362,3309.5176,1495229.37,3407.431,1536229.993,3445.8071,1711276.418,3503.0505,1770499.71,3462.6758,1803460.483,3346.965,1843427.771,3506.508,1917880.345
Romania,369.5765,614010.6065,379.1164,615538.1071,381.13568,575932.0465,381.0851,601284.0465,387.93585,689141.3495,392.05106,718432.0344,383.81754,735727.8428,369.48853,788479.092,390.003,903006.7552
Russian Federation,8032.5254,22324054.71,8057.7617,17490971.82,7930.555,16059758.3,8086.0635,17836946.43,8135.742,18496746.75,8432.208,20425156.7,8370.03,22266082.15,8078.97,21985048.48,8335.356,24204380.78
Rwanda,4.3376565,8794.264422,4.586371,9424.929472,5.078819,9849.508497,5.124537,10146.09846,5.6115375,13014.34914,6.1547008,14032.35606,6.7457433,14165.31436,6.532406,16683.45801,6.3453274,20817.80087
Saint Kitts and Nevis,1.0313666,1734.498612,1.0442275,1871.662539,1.0690248,1936.892285,1.0972828,1886.760968,1.096758,2130.920062,1.109576,2337.962197,1.1092261,2376.303466,0.93629295,2200.143947,0.9955214,2193.98087
Saint Lucia,1.8109919,4917.590518,1.8287804,4783.228027,1.8412378,4830.19751,1.8611505,4579.805642,2.017484,5066.954447,1.8545495,4863.676647,2.7253225,5008.680912,2.296203,5043.968151,2.4433672,4959.671701
Saint Vincent and the Grenadines,0.9423633,872.294331,0.97102666,816.9855442,0.9954189,855.767982,0.99340993,835.4591225,1.1439728,1002.236664,1.0528235,1022.555295,0.9069623,1034.409313,0.81501937,998.226804,0.8603289,926.2051233
Samoa,1.2030401,361.3772361,1.2231327,376.2314039,1.4193091,396.8757683,1.5122826,467.0846914,1.5256896,626.2729348,1.5136653,739.4545414,1.631313,785.0349319,1.5522943,969.5838758,1.5975583,1098.568795
Sao Tome and Principe,0.61556506,810.2543638,0.6155105,929.7225329,0.6436711,1178.031539,0.66496056,1213.321192,0.676261,1418.964893,0.6657166,1437.373087,0.73365,1353.927382,0.70130306,1373.582686,0.7385749,1431.440813
Saudi Arabia,2731.2205,5428921.132,2931.7173,5913749.717,3056.6255,6532688.9,3179.844,6896247.078,3181.8193,7354944.039,3101.6775,7491703.874,2967.3794,7562559.693,2886.4114,7419641.301,2981.9167,7504765.51
Senegal,28.785759,26451.18425,31.947577,29831.58462,37.051647,31667.90285,35.844208,32856.92547,38.039948,40801.47509,39.58574,44872.11038,44.056408,50535.27781,41.623035,56680.36977,42.279724,69367.08208
Serbia,190.3472,448969.392,169.54901,472928.6578,187.72292,461260.0705,192.31615,474928.6075,196.76714,533273.5588,196.85847,549293.8872,196.88872,592649.3352,192.86804,591830.458,201.68896,654868.8714
Seychelles,3.7422965,1258.131384,4.3764224,1251.07543,4.535706,1366.75643,5.050324,1277.96586,5.2665887,1427.537608,4.6721234,1498.405461,4.778491,1413.456271,4.612663,1405.2503,4.891292,1531.051635
Sierra Leone,4.8245325,2332.143524,5.30554,2659.344808,4.3349442,2488.863731,4.432782,2594.410775,4.4046493,3142.024086,4.4665146,3622.976629,4.1280594,3763.491055,3.9566472,3942.24544,4.1479893,4330.198474
Singapore,812.4909,106301.6873,828.2924,114365.9969,878.4029,112739.7323,926.7514,114706.3981,950.00244,114444.9238,950.5948,119335.919,929.6794,119779.5224,910.51807,119597.1067,910.7139,113255.036
Slovakia,194.58702,198955.0605,181.1199,184445.2985,182.98993,182315.7586,184.74371,188845.5129,194.5947,210989.189,191.29565,212243.3369,184.84892,214000.9254,181.1254,213478.2614,195.22316,245166.3624
Slovenia,80.778595,81119.67313,82.86102,83536.512,74.71551,80638.71738,79.85814,81918.11648,80.720924,93130.36911,82.39095,90961.45723,80.00229,90184.05384,77.29536,88243.74684,76.58192,98673.03448
Solomon Islands,1.6141902,419.5928608,1.5197262,276.8498682,1.3884337,266.1222956,1.3345238,281.9028441,1.3268349,320.1783914,1.3894602,346.6054313,1.3684785,390.2252965,1.2975992,422.0050609,1.3393546,448.7651056
Somalia,3.416206,3276.027568,3.416448,3815.132185,3.5448291,4576.671924,3.6269844,4884.662135,3.627606,6628.022851,3.6413927,8124.222596,3.6369123,10095.72906,3.5074317,12460.32543,3.7102253,16000.10897
South Africa,1430.1221,1536408.763,1446.7012,1545236.454,1417.7021,1497756.983,1482.439,1512279.465,1476.9373,1625064.553,1421.1741,1617892.612,1485.7,1639809.506,1392.8961,1619231.746,1406.0925,1596462.714
South Sudan,6.313152,4130.614113,6.5313106,3586.140444,8.003829,3992.906442,7.7284136,3475.936382,6.7726936,4132.558189,6.9831424,4287.100549,7.8094916,4359.738084,7.4576077,5282.661224,7.8676186,6236.325001
Spain,1578.5305,3645546.199,1554.2189,3639208.144,1573.1444,3525653.099,1582.9133,3455089.916,1602.0426,3629795.756,1628.6714,3549138.492,1583.871,3632815.973,1422.96,3468611.966,1530.2695,3587302.564
Sri Lanka,79.214134,44660.24825,85.89107,48232.89574,91.3002,54557.52107,100.87174,56423.1423,106.731476,68325.23411,112.36916,72398.2594,113.03538,80814.09421,106.000435,85634.76702,109.63753,91123.5227
