Country,2013_energy_consumption,2013_minimum,2014_energy_consumption,2014_minimum,2015_energy_consumption,2015_minimum,2016_energy_consumption,2016_minimum,2017_energy_consumption,2017_minimum,2018_energy_consumption,2018_minimum,2019_energy_consumption,2019_minimum,2020_energy_consumption,2020_minimum,2021_energy_consumption,2021_minimum
Georgia,61.590626,107332.8638,64.329315,59301.89488,68.213394,39884.66844,72.10096,39578.91612,71.68798,123276.7322,73.12045,110050.925,74.13174,131962.336,70.41069,149296.1207,78.29672,170973.0268
Germany,3868.517,1643486.908,3710.4646,1587837.354,3780.8599,1659739.252,3841.4512,1669707.785,3888.1333,2032334.458,3787.6824,2099459.918,3694.8396,2177490.919,3443.882,2028157.269,3544.581,2210582.988
Ghana,74.27885,2278.180946,75.372475,21249.97477,82.1962,53648.01838,83.19528,30655.56233,83.3517,202879.1635,96.07844,267914.2582,98.84115,211601.457,112.12157,292698.9129,114.36937,478013.8021
Greece,328.3033,490994.3248,307.91022,434263.2111,311.72308,431077.6635,306.9926,435711.942,322.1973,605224.0246,324.0658,601172.0143,316.8873,621699.8437,276.95612,662720.6155,302.5362,707152.7476
Grenada,1.3468796,1242.902275,1.138644,1047.975008,1.1850467,1158.433821,1.2207305,1087.213502,1.3271629,1308.096049,1.3067567,1267.084472,1.3078552,1256.153709,1.1029536,1201.711133,1.1754613,1311.061896
Guatemala,68.00804,55414.30389,71.687744,48266.13666,80.04745,72108.02647,87.28228,45270.97762,94.63285,125414.7185,97.299934,140170.1469,100.10175,124365.1009,99.5661,102017.2266,100.58174,177511.5215
Guinea,10.857174,-73668.64477,11.221065,-102787.4454,13.61675,-36824.00538,15.340269,-94292.06988,15.4381895,82693.33824,14.087817,101481.5804,15.476092,51172.94107,17.914892,60209.29963,17.34148,190207.8731
Guinea-Bissau,1.5058649,-14250.82061,1.5821962,-16271.44684,1.6366516,-4708.69206,1.7039256,-17504.88168,1.3791065,6593.501165,1.3856009,8717.257229,1.3854842,3498.121821,1.3230809,450.8574856,1.3957903,21058.57134
Guyana,8.391866,-78923.91664,8.370713,-151315.1693,8.49344,-75294.84192,9.590764,-130544.7233,9.509585,23787.49417,9.717782,57256.09575,11.330115,16658.29429,11.014605,40551.03899,11.014605,106402.58
Haiti,11.038771,-2560.782889,11.895988,-10974.4603,13.570336,915.6795078,14.088038,-9189.474985,13.984254,11462.23931,14.597323,17284.35852,13.217826,8289.297531,11.0476675,5993.570956,11.801085,19420.11973
Honduras,41.480186,39803.55234,45.447643,32855.35325,50.56032,51430.46528,49.596046,21942.57595,52.525883,110175.7961,57.746044,121716.781,56.173466,106552.8906,51.09921,94371.48006,52.285263,140440.0102
Hungary,238.04141,270314.9099,238.26877,233162.9194,251.03966,193457.5224,255.4948,255797.1685,269.29346,375243.4734,271.20258,370008.0856,274.8925,376556.9423,270.3273,297898.1875,283.95834,449117.6597
Iceland,58.71669,449757.1319,58.62973,398466.6167,61.207317,728772.51,61.441673,577906.281,64.24559,678563.5755,66.45856,480690.8129,63.328125,361554.3028,58.08151,549913.0803,60.644577,524564.713
India,7178.7197,4184690.34,7664.0034,3826974.994,7929.679,5205566.537,8284.972,4496606.156,8600.742,7007647.828,9088.107,7706425.969,9317.351,7463561.316,8828.374,7439992.187,9585.078,9330466.313
Indonesia,1809.8263,263579.6381,1839.6007,-25696.7644,1866.1007,758989.0142,1896.8113,364005.1992,1967.7083,1767243.913,2151.6267,2082284.952,2299.6296,1571020.94,2163.7532,1809486.694,2214.0532,2480498.804
Iran (Islamic Republic of),2652.0325,3036996.723,2768.922,2740515.782,2735.8362,3228949.232,2884.797,3217750.213,2995.331,5633666.282,3095.9187,4830687.717,3263.9712,4828894.767,3387.9543,4663563.422,3322.0579,5984023.955
Iraq,470.12567,1851266.437,455.2057,1867026.511,447.09543,2321137.745,485.35147,2624658.129,567.4052,2970433.411,590.49176,2862355.417,639.68274,2963792.082,571.86237,3124846.208,592.7278,3625572.056
Ireland,164.99734,223507.8044,164.55302,186699.2578,173.913,228758.8086,181.63763,202737.25,182.40254,260392.1388,186.47433,316815.8465,187.35852,301194.8472,176.07672,252472.7664,179.446,282214.0342
Israel,267.18036,472627.4544,260.6474,503740.6424,275.05713,486936.6311,280.5702,519131.3773,285.68524,547746.7263,292.21167,563618.9115,301.50592,581453.1996,285.13525,564151.3117,292.04428,609050.2966
Italy,1858.6002,3181546.494,1762.3201,3317012.225,1814.7657,3287480.94,1821.9315,3259514.008,1843.1206,3913773.313,1853.6401,3721518.145,1819.5557,3801964.325,1651.9623,3743702.414,1768.6172,3826887.91
