Country,2013_energy_consumption,2013_minimum,2014_energy_consumption,2014_minimum,2015_energy_consumption,2015_minimum,2016_energy_consumption,2016_minimum,2017_energy_consumption,2017_minimum,2018_energy_consumption,2018_minimum,2019_energy_consumption,2019_minimum,2020_energy_consumption,2020_minimum,2021_energy_consumption,2021_minimum
South Sudan,6.313152,-276458.033,6.5313106,-518847.0845,8.003829,-172332.0032,7.7284136,-352761.1767,6.7726936,111293.7038,6.9831424,203369.5611,7.8094916,14849.20775,7.4576077,129646.3543,7.8676186,298864.341
Spain,1578.5305,2674142.172,1554.2189,2574233.815,1573.1444,2443038.159,1582.9133,2376046.326,1602.0426,2950705.576,1628.6714,2866770.52,1583.871,2914591.563,1422.96,2779863.148,1530.2695,3044517.476
Sri Lanka,79.214134,14347.17054,85.89107,21650.40111,91.3002,43487.10104,100.87174,18840.71777,106.731476,65255.99989,112.36916,79784.20967,113.03538,71579.38432,106.000435,79522.44915,109.63753,102368.579
Sudan,85.83844,-547440.5615,88.02482,-1322620.231,91.00936,-187896.2645,105.69049,-926093.0114,107.986336,438563.6839,107.29716,710491.2993,106.3234,348420.253,105.689606,345934.2118,105.80567,1090425.459
Suriname,11.753048,-45639.72418,11.440299,-84868.11012,10.527559,-32512.83304,10.940309,-82829.99001,12.749405,22796.52611,12.877228,58242.08708,12.984192,27376.22454,12.3576,43344.16675,12.43448,86578.24743
Sweden,603.5434,1700063.665,600.7766,930817.2596,622.0618,1668824.375,609.4006,1649613.839,631.34283,2183467.249,609.1949,1814277.827,625.81903,1825486.385,600.27936,1750746.805,633.67957,2068829.593
Switzerland,359.14597,152544.9078,344.43954,168679.0523,336.3216,169826.4402,316.24518,150276.0365,316.9949,210782.4923,321.45792,198987.8431,335.947,191097.9859,308.59106,198856.8916,298.0824,214119.8492
Syrian Arab Republic,154.28238,157173.8588,137.03278,88865.41282,122.00345,73451.77914,118.85896,53162.38902,119.593094,261222.8461,139.97821,282540.1995,123.70372,264481.1596,115.59429,227872.2064,117.437904,358572.8768
Tajikistan,61.830788,77009.06586,63.163795,38017.83713,63.24625,8763.634168,65.10699,4681.923421,66.41349,166383.7548,70.850876,164230.4288,75.084435,167246.9728,74.622086,211175.8386,74.83101,226700.8109
Thailand,1312.8635,674111.3356,1357.1696,566078.1732,1377.446,885531.4233,1405.5717,764665.0678,1432.6826,1242534.358,1478.3762,1287438.753,1479.7451,1301448.978,1375.7584,1383154.655,1386.81,1752169.002
The former Yugoslav Republic of Macedonia,30.12023,51591.90883,27.962751,43612.11888,29.476517,37513.94123,30.59213,38284.65986,29.433117,65189.48436,30.42636,65222.47555,31.057503,69893.20917,27.707994,74760.16166,28.997852,87108.9938
Timor-Leste,1.9007002,-1798.798023,2.1808667,-7731.013431,2.13834,-2034.304415,2.0929565,-3672.302312,2.134672,5879.378338,2.1638384,9015.914423,2.1804886,5112.690971,2.0667233,7419.788012,2.1339822,12132.83005
Togo,9.597932,-13105.2128,8.328414,-11538.00609,6.4887404,3515.951757,8.692368,-9602.704615,8.421565,25766.68427,10.085071,35226.97757,10.749471,18205.78277,9.730233,31401.28977,9.645073,60620.46537
Tonga,0.5056593,133.8097786,0.54864866,17.5378554,0.5736207,60.69150936,0.6066782,89.66587602,0.7202176,498.067705,0.6288607,503.8690801,0.7203973,551.6832274,0.68865055,685.7977773,0.7102787,804.9330686
Trinidad and Tobago,228.57895,80866.32187,228.8344,82617.52884,221.63606,82506.63488,195.77258,78417.69732,207.06696,82808.326,194.03856,87043.57011,195.2032,92229.84998,169.34329,90655.81931,173.1243,86294.65829
Tunisia,98.607254,243661.73,108.65896,272905.7896,112.222084,244941.3829,112.01615,283180.8793,118.58322,446804.7476,121.81989,435206.6369,122.03721,440271.1614,112.99091,418592.53,116.7936,536094.0348
Turkey,1412.1876,2145130.778,1454.355,1953100.333,1589.0212,1994271.357,1669.2389,2190692.258,1787.3416,3317317.385,1787.8729,3336167.385,1849.1666,3672648.99,1821.7764,3938223.514,1951.1511,4488313.027
Turkmenistan,268.03357,566124.8555,283.70267,339572.6,322.79703,193456.4502,349.10052,212095.6618,324.88077,785635.7649,366.50565,762344.6854,349.90903,748064.6704,439.79727,784406.2688,443.09784,1067911.243
U.K. of Great Britain and Northern Ireland,2376.7168,2273676.047,2246.046,2048766.878,2281.359,2249293.039,2243.5447,2118713.233,2249.0764,2179617.91,2246.8015,2254481.795,2199.0686,2178657.724,1971.1879,1937161.788,1990.9581,2013382.646
Uganda,22.977688,-75169.24864,26.487562,-127951.3442,26.524347,-40466.0455,29.64469,-86022.09506,32.298073,82554.50854,34.92294,109531.7417,34.858654,43439.41054,34.032326,72699.19702,35.162792,159108.0985
Ukraine,1369.5685,806379.7443,1208.3707,402853.0376,1003.4079,300819.5051,1049.9954,432898.7389,975.3309,1214209.412,1011.9886,1261942.463,957.66315,1238983.656,918.4516,917422.7232,934.7169,1427285.178
United Arab Emirates,1133.2446,929799.6163,1130.8772,949689.9983,1227.7888,988037.1422,1276.3125,949811.9023,1215.4445,1002033.752,1150.513,1056827.931,1219.0671,1118228.575,1204.6757,1103766.552,1246.315,1238070.823
United Republic of Tanzania,48.820095,-305440.9418,51.073086,-424608.0382,52.658886,-302909.0628,57.78317,-384215.2133,52.416847,279013.4928,56.283737,403617.6474,57.2517,165556.4097,56.37248,452956.3256,57.700302,619199.052
Uruguay,62.865517,128809.9507,64.683334,104371.9595,66.68303,90528.55461,67.64129,70187.18991,65.31021,248843.9153,66.96002,221849.5495,68.516846,239557.6179,60.45974,237728.0389,62.75864,297661.8569
Uzbekistan,544.20325,478910.5883,567.4339,207221.7784,538.7107,111859.4256,522.3972,84217.0074,535.0315,574684.9323,540.08813,586625.8385,542.1058,643732.4718,539.9758,722665.4082,565.7743,964510.8412
Vanuatu,0.6384758,-4799.515396,0.72912383,-2894.698601,0.6867209,-5107.795459,0.69276536,164.6001749,0.77244866,4767.589646,0.99481606,6690.198524,0.96026534,1268.281309,0.9112493,2034.258784,0.94385636,6056.444646
Venezuela,1037.0094,1272188.791,1013.23816,1299058.296,969.30066,1371021.21,890.0844,1073495.001,872.97437,1362939.074,727.8724,1458887.263,656.968,1383455.482,527.86017,1105137.331,604.086,1588794.293
Vietnam,659.4035,549140.1,728.0775,85417.15322,826.4728,333849.8532,898.7783,196817.1588,963.6317,542691.7763,1083.2736,834472.0835,1202.6356,582810.2749,1204.3934,737860.4376,1208.5538,877696.9445
Yemen,102.48065,-13539.46517,97.00695,-186404.4317,52.38784,18231.53676,41.93655,-217985.6588,38.71062,149069.5148,36.047256,203297.2951,46.562454,127477.1886,35.254242,137555.8311,35.62147,338463.7326
Zambia,48.72951,-314026.9208,52.302757,-359627.1794,50.614338,-355985.3754,47.732758,-320845.3062,55.389618,247634.1142,62.3282,248823.1208,54.84517,173083.6573,58.65856,313041.8033,66.57597,489235.5458
Zimbabwe,55.37839,-158679.0466,54.603966,-199868.4178,54.65108,-206295.2862,46.64871,-169568.0392,45.256546,111873.6547,51.80943,123435.1032,46.11994,86689.23019,41.99676,169458.0724,42.145393,258232.5789
antigua & barbuda,2.9079623,3191.669021,2.9732518,3237.555315,3.0433478,3518.409797,3.0876482,3113.474549,2.9374938,3440.319849,3.0266554,3320.281048,3.0427258,3267.530004,2.5749125,3264.43463,2.7469301,3400.146062
czech republic,490.22104,400151.6529,479.9369,331531.866,470.71613,323541.6047,464.37427,350279.362,490.5819,478907.3195,489.02423,487407.3956,477.90494,486727.2838,442.5676,425200.0835,466.40598,538343.196
