Country,2013_energy_consumption,2013_maximum,2014_energy_consumption,2014_maximum,2015_energy_consumption,2015_maximum,2016_energy_consumption,2016_maximum,2017_energy_consumption,2017_maximum,2018_energy_consumption,2018_maximum,2019_energy_consumption,2019_maximum,2020_energy_consumption,2020_maximum,2021_energy_consumption,2021_maximum
Afghanistan,33.458687,1091875.23,28.416525,1090830.047,32.743607,1054925.742,29.883818,817881.3366,29.559513,1560382.115,33.907795,1300210.423,30.314272,1286777.172,27.393118,1472469.641,27.13513,1607986.815
Albania,38.665195,147469.106,34.059666,169818.2762,34.083374,155831.4169,39.827103,131938.1347,36.862617,170630.9093,42.032387,161558.8901,33.29553,183303.5084,31.988321,189101.2577,40.252644,228107.9609
Algeria,536.9768,9310853.627,585.6132,8851788.902,617.5181,10161104.79,616.9958,8588671.075,623.7946,10687492.73,669.61975,9996116.321,694.3489,9403339.25,648.8988,10968634.87,707.6273,10447942.48
Angola,101.91877,2471317.785,112.17697,2220042.152,116.99946,2404280.643,106.75158,2423564.973,101.83017,3025578.054,105.27903,2731293.92,118.654335,2518040.886,117.90763,3167482.302,96.311485,3266719.863
Argentina,981.39813,8385783.098,979.85767,8401531.366,996.94006,8967112.962,992.4242,9925877.358,991.3971,11224812.53,984.3456,10375691.91,927.35834,10019326.48,869.82855,11503335.28,958.46265,11164563.91
Armenia,43.05361,111269.5462,43.884068,136028.0395,40.660046,102207.9236,40.950134,118169.4708,43.64147,151417.6497,42.928493,115863.6353,45.634823,151507.6763,47.936787,144728.5146,49.357056,196817.6641
Australia,1555.586,14469480.31,1566.4581,15901320.89,1601.2705,17097971.55,1606.5027,9349898.58,1601.6459,17697910.39,1624.9872,19381493.85,1679.8438,13924112.26,1585.1263,15086135.05,1589.0751,16005490.92
Austria,410.85233,654185.5674,394.88925,722682.92,396.38324,698396.8249,409.6511,688334.3588,417.56863,763820.6701,408.4021,747171.4081,427.9604,802733.4168,400.14407,799994.49,406.03314,969194.7331
Azerbaijan,154.21175,1488966.102,157.24129,897401.3818,171.82614,855471.7933,170.19234,730097.3309,166.95396,828722.7224,176.16669,875852.2666,185.8906,1023710.658,184.92851,801867.3199,197.54944,911210.773
Bahamas,12.594334,51278.26168,12.363687,45081.97628,11.819098,43948.7448,12.373412,42789.59928,14.754933,50417.53131,16.02692,44735.49589,16.035286,44496.38394,13.536436,46434.63863,14.459775,47129.78024
Bahrain,203.59215,251338.8395,201.82355,194003.5046,203.60542,190283.3954,203.15282,198674.5923,209.00795,200483.0602,211.63669,214857.4161,232.19562,262639.0349,230.62811,283001.1336,235.74854,246492.1476
Bangladesh,306.46094,401016.7065,318.4197,399459.9289,385.0179,443198.1347,386.63824,387205.2292,402.8385,540268.9391,430.20114,555719.5379,482.46228,546729.7159,457.2916,599905.0206,492.38055,619014.6267
Barbados,7.385999,10160.89731,6.423336,10389.09811,6.83276,9747.673592,6.9711556,9723.034674,6.6088576,10312.53146,7.019272,10353.89784,7.0530257,10797.86293,6.0569825,9927.842882,6.475003,10198.09329
Belarus,294.2054,1346921.735,294.86273,1895251.921,266.9616,2073843.184,272.79758,2100426.446,277.83994,2029683.059,307.21524,2220052.008,308.7904,2149818.896,286.5444,2521714.809,306.05542,3427708.84
Belgium,701.9301,1526152.721,650.87177,1371758.906,657.449,1419763.53,709.50476,1326519.135,716.0581,1367363.398,714.2254,1361236.9,738.434,1388623.659,664.01184,1465493.957,738.3453,1809535.489
Belize,3.3377864,42152.05129,3.3195853,41610.9451,3.670005,42776.67896,3.6743054,39799.99829,4.083113,57258.67854,3.6473157,53697.9171,3.8457918,55181.33092,2.8539426,57722.2519,2.9753036,58047.07819
Benin,19.48076,219331.1939,20.595615,223069.1696,22.778463,211050.576,27.778744,206772.4944,29.458447,356252.0983,32.67928,295164.32,29.695702,311030.1248,31.843231,309363.2255,32.294933,450342.0763
Bhutan,17.94188,71302.39944,17.1782,55691.9238,17.990313,70869.97257,18.51358,46802.21021,18.394636,88668.43188,17.633875,83063.26688,20.914705,77896.66918,20.543457,87194.46883,21.603115,95650.91492
Bolivia,83.94523,1369214.27,84.83242,1420857.941,88.927635,1983877.518,92.095825,1720776.057,90.77874,2335052.809,93.88063,2143778.583,93.07756,2096684.707,78.06891,2747087.948,85.30703,2684466.363
Bosnia & Herzegovina,73.227455,285237.4334,70.906006,305232.6216,71.01475,304548.3907,72.58786,330801.3955,72.034004,394991.708,73.24684,335599.3835,69.54784,409439.3493,64.59231,365955.2564,75.275955,500945.5493
Botswana,19.159739,952745.8737,19.243532,581607.9286,23.44811,927776.2114,25.792757,450417.8107,23.729675,1318828.065,23.526642,1086415.548,23.667168,853757.6119,22.518124,1205445.754,24.29339,1604890.809
Brazil,3473.9395,18911865.44,3564.4182,19806528.17,3516.9568,21979143.02,3432.1653,18389862.65,3462.9932,26156920.46,3475.9683,23346216.41,3532.9504,22441124.45,3394.3682,27231322.43,3570.6697,26210147.17
Bulgaria,198.10829,548062.0748,211.55034,674035.3441,224.68042,553141.2863,213.11739,538124.9348,218.17448,798577.4428,218.81418,641977.2772,211.5514,686414.4907,195.37389,679747.8811,221.89557,835357.9153
Burkina Faso,13.221638,514744.1118,12.312724,411379.5762,15.648824,493463.99,15.036379,447801.0508,17.42735,706708.8071,19.380987,589429.3456,19.840307,517093.4424,18.917995,623598.9796,19.995071,711659.699
Burundi,2.201248,64658.58284,2.058344,50150.37193,2.078433,94468.34332,2.2725782,45027.48601,2.754312,64854.46806,3.3419418,46565.56635,3.673369,40794.87393,3.5324557,69042.35759,3.6886592,67479.25707
Cambodia,27.991207,365929.4594,30.90454,242791.7579,35.448734,252691.5442,44.197952,275321.899,46.705288,409087.7519,58.891613,383017.0985,65.95679,389236.6629,64.253365,468642.6422,66.93809,500099.2702
Cameroon,34.61895,727128.6744,43.29559,516099.8926,43.45693,696644.6977,42.342575,593794.6296,43.015976,1107195.971,43.80294,936886.1196,44.35206,830733.7705,46.57453,904469.3293,43.344273,976650.0162
Canada,3999.0527,84299056.24,4007.7463,111098673.3,4019.3127,144699992.2,3983.994,115179815.6,4038.1782,133894509.9,4090.1682,120758257.4,4067.8503,110569881.6,3821.6829,117293360.5,3866.976,127714039.1
Cape Verde,3.583382,8750.884384,3.8647695,41012.24981,3.818471,9598.216801,3.9881656,9179.03457,4.2311363,13761.20157,4.2816496,13714.52078,4.2608,13172.98824,4.049204,13889.38864,4.2622404,14360.09325
Central African Republic,0.9931126,1483317.642,1.1432436,1355131.589,1.4313644,1543083.736,1.5070812,1883415.445,1.5073513,2031841.198,1.5409663,1629250.403,1.5585275,1564054.957,1.4999926,1809075.573,1.561469,2207904.92
Chad,4.0028453,1624294.984,4.160346,1364610.712,4.218693,1564150.259,4.182099,1524958.106,6.732162,2498558.952,7.132974,2231325.837,7.389022,1812432.367,6.2003345,2494019.994,6.2046566,2429970.482
Chile,413.7593,1702746.146,409.53394,2519911.379,414.2298,2392685.064,433.90335,2385715.965,450.3469,3339767.127,468.27765,2813251.89,473.9787,2729516.257,442.47766,2815637.419,476.857,3061939.834
China,33852.562,37591010.22,34729.066,39349481,35135.99,38397058.93,35277.71,35174091.42,36649.383,45518068.38,38409.645,46180827.38,40188.543,48335756.47,41493.71,55235730.44,43847.004,59194816.62
Colombia,485.0396,2704536.35,510.58585,2497643.785,483.40317,2437485.297,544.61725,2383689.413,549.7021,3098341.348,558.41876,3121967.671,563.1924,2805101.925,512.58594,3208560.57,574.74524,2890873.367
Comoros,0.78530526,2038.408913,0.7014616,1604.677328,0.75678515,2350.133004,0.8873186,1502.691025,1.1367831,2878.342878,1.2369027,2815.417705,1.3334004,2790.577231,1.2721838,3063.934521,1.342369,3399.900732
Costa Rica,55.670418,250247.7188,56.80869,226644.2851,59.283073,240899.4817,60.83589,218348.9037,63.17111,261290.371,64.53538,262035.1707,66.162155,261692.6264,58.84567,256966.2159,61.628967,256220.8147
Croatia,96.07299,556223.1573,96.00875,667538.7967,91.01988,575148.1104,94.73056,585737.2336,94.7834,687085.8772,98.16044,641207.0227,95.81319,587642.0559,91.37846,597159.2476,98.31208,685866.0105
Cuba,125.37503,336152.4015,127.56847,343313.0829,127.91406,386403.5008,99.81311,355237.9167,106.08925,423776.4576,111.2338,402632.1258,108.710625,398826.511,101.7874,438075.6659,103.89113,419501.9161
Cyprus,28.278452,130938.0333,28.294397,128002.2829,29.184475,127741.5798,31.736937,126140.3929,32.595684,138796.3997,32.462143,139387.3752,32.4935,133824.6561,28.281317,128834.8366,29.841984,130354.6905
Democratic People's Republic of Korea,118.56006,191278.0014,111.504944,218009.5853,98.72228,237283.6235,114.25802,147861.0378,93.33703,338515.3817,96.75321,272301.4722,98.323105,260486.184,99.829216,318525.3991,99.5751,335449.3174
Democratic Republic of the Congo,30.831583,3608296.797,29.33179,3072033.422,29.581387,4058870.21,28.268084,4138771.677,21.170794,5377141.63,19.616518,5108480.482,16.009293,3750404.156,13.568663,4705502.897,13.7025585,5699562.245
Denmark,211.70235,579468.6584,203.5635,683540.015,198.9746,714170.667,201.60147,603939.8556,202.98541,693152.3396,200.11829,743558.0401,196.04588,568460.5143,176.48528,824061.341,189.43509,912251.5504
Djibouti,3.7283626,18796.27516,4.138329,17291.96222,3.6496913,19034.41765,3.48905,14047.82734,3.1583176,37053.60446,3.3127282,37544.34471,3.059594,28340.76914,2.9453895,38869.19235,3.0790696,45612.23779
Dominica,0.7586231,1796.286404,0.78279257,1688.692718,0.8130677,1826.226567,0.850164,1682.645329,0.79398596,2231.794816,0.8187616,1655.873932,0.789469,2001.458629,0.7241603,2431.424984,0.76402795,2349.823678
Dominican Republic,91.43549,243282.5813,87.788315,238678.8245,97.34283,242200.3185,103.54014,252099.2721,102.12164,296335.1027,112.90603,312964.1921,120.77078,332483.6508,104.46019,363007.385,111.04068,386547.4175
Ecuador,179.50916,951943.4238,188.56316,1071012.096,188.04614,1238098.898,187.40384,1130640.477,195.10971,1311657.209,206.38023,1617809.635,211.3331,1303582.684,182.8624,1378482.946,212.59688,1299642.738
Egypt,973.26874,5112726.492,961.9715,5097069.573,976.1081,4929330.534,1030.2607,4890074.098,1070.7452,5932821.44,1071.3456,5433136.644,1051.1061,5650605.789,989.0688,5653198.463,1058.7433,6084216.355
El Salvador,36.514393,88173.10056,37.35043,84964.52307,38.633717,100521.4736,38.950665,85705.59434,38.684814,105661.4347,41.71052,104694.3391,45.666763,98077.77996,42.259533,104573.4876,44.681767,104904.7701
Equatorial Guinea,33.239258,53208.69832,31.289293,42101.30174,27.943586,68726.98657,27.598911,44967.85421,30.995258,81925.29176,28.107082,69427.6801,27.40286,59864.07806,18.08033,64604.52135,20.266384,54637.85437
Eritrea,2.2805402,63447.55509,2.3813727,88060.02938,2.3641987,77018.65012,2.4062965,48890.9902,2.643787,170124.8775,3.018665,155652.2338,3.276569,118807.7206,3.1348097,183106.6465,3.3107688,194677.4474
Estonia,77.46338,631773.505,74.16147,667659.2139,68.6264,593037.2792,70.76302,708745.5691,78.48448,630815.4961,77.879,915924.0361,62.760654,760246.3684,58.73331,625942.4248,61.401203,1129136.068
Ethiopia,61.418804,1851353.196,69.58626,1784455.375,73.31093,1939823.838,84.99689,1711775.238,86.0149,2522484.868,91.52436,2141659.504,105.21818,1791372.746,100.7959,2217395.943,104.836815,2910224.115
Fiji,6.8536205,22790.63102,7.2206216,31538.55064,7.5502286,26635.99179,7.4337616,17307.34981,8.07573,34633.69706,8.561964,33541.57248,8.649831,29513.00538,8.312041,39033.12879,8.527583,40802.3442
Finland,341.8005,6239555.069,329.82288,7293318.155,328.8933,8093239.996,334.08334,7956535.881,327.2159,7989082.711,333.84097,8511094,326.9818,7782321.02,313.94992,6431459.223,320.63977,9954468.92
France,2924.1458,7459731.994,2796.8435,7334322.642,2822.273,7328081.56,2765.4526,7004363.903,2754.9192,7187852.187,2788.956,7040794.15,2729.5625,6865004.829,2441.1663,7252168.688,2593.6248,7508095.907
Gabon,20.430458,510119.7482,21.331526,382170.876,20.505322,523730.7735,20.321144,392202.1526,21.514389,690170.2995,19.279465,628924.1961,16.65867,571324.9215,19.182198,529727.017,18.752058,589835.3598
Gambia,2.0487888,33819.33355,2.2650769,29152.18314,2.3181598,24445.66641,2.336837,30379.35704,2.3769746,35965.73786,2.3929524,35823.19753,2.440309,30176.35312,2.330364,30994.55162,2.458489,47675.01687
Georgia,61.590626,324319.205,64.329315,366953.1733,68.213394,299447.9817,72.10096,295741.8253,71.68798,372181.7889,73.12045,338517.2423,74.13174,372845.5188,70.41069,403243.4889,78.29672,460386.6845
Germany,3868.517,4744850.827,3710.4646,4957378.591,3780.8599,5096661.816,3841.4512,5036222.159,3888.1333,5687603.671,3787.6824,5395421.22,3694.8396,5293084.243,3443.882,5968270.137,3544.581,8583191.831
Ghana,74.27885,651222.3333,75.372475,659256.2841,82.1962,642332.6455,83.19528,780373.9114,83.3517,1022526.267,96.07844,934895.5292,98.84115,982844.2608,112.12157,1171448.577,114.36937,1149369.636
Greece,328.3033,1081086.272,307.91022,1168565.981,311.72308,1064628.563,306.9926,1045771.786,322.1973,1220331.301,324.0658,1161646.427,316.8873,1326332.079,276.95612,1269115.819,302.5362,1436053.083
