Country,2013_energy_consumption,2013_maximum,2014_energy_consumption,2014_maximum,2015_energy_consumption,2015_maximum,2016_energy_consumption,2016_maximum,2017_energy_consumption,2017_maximum,2018_energy_consumption,2018_maximum,2019_energy_consumption,2019_maximum,2020_energy_consumption,2020_maximum,2021_energy_consumption,2021_maximum
Liberia,3.6788895,119151.6123,4.844483,90069.27507,4.862246,121506.6768,5.590125,99203.98389,4.831436,183384.8268,5.4881964,178889.2649,5.4879627,141153.123,5.240454,190554.3041,5.528998,187636.3191
Libyan Arab Jamahiriya,231.87094,4052588.515,226.45312,3518175.22,180.20953,3529484.414,176.38931,2737183.658,199.04042,5049924.192,205.10458,4464266.765,212.98204,4595792.391,186.52736,4754550.546,190.40862,5352356.688
Lithuania,63.415512,447042.8865,61.20458,624985.3639,64.11229,640840.0064,65.726395,743345.1255,69.15024,697208.4543,70.969444,968565.8783,70.59712,823366.682,70.29448,918267.6479,70.14949,1476029.927
Luxembourg,45.692364,101497.0908,44.27421,90995.22103,43.034466,83267.0563,42.459232,79722.9402,44.354897,101061.0347,46.43095,93343.72377,47.288246,84694.09885,40.540794,88185.07498,43.215237,95578.92778
Madagascar,14.159686,1062316.661,15.377752,851222.9642,16.817646,1056348.527,17.63125,1041767.923,16.164988,1152522.768,15.560264,1169457.146,18.68685,1031725.43,12.630883,1503837.555,14.678847,1376439.124
Malawi,9.690505,192207.1455,9.974371,153372.0874,9.610899,177080.0411,10.123318,156297.0501,10.431984,250790.0145,9.962464,248316.303,10.147229,204282.0938,9.751647,244634.8979,9.248383,284191.8797
Malaysia,1086.7379,964221.9769,1097.6155,1570932.355,1114.5746,1676233.495,1172.3032,1647602.422,1188.4774,2024234.201,1209.5756,2056917.985,1240.7814,2402609.792,1196.4292,2212141.81,1246.6495,1869548.411
Maldives,6.577692,190.6157933,8.817265,202.2044131,6.5987864,221.7838261,7.0005317,362.4354922,7.2642756,375.7131813,8.336382,383.8287899,9.367838,352.2528121,8.90442,319.7493783,9.214026,401.0622741
Mali,14.117615,2049682.937,15.7832155,1530507.857,17.25754,2101427.905,21.920076,1664447.669,23.833948,2792531.814,24.793644,2338611.772,25.333214,2215285.95,24.256605,2770455.096,25.59745,2796582.96
Malta,26.145313,29972.03554,26.757277,29093.10785,29.281233,29622.61622,32.549335,28881.62475,37.07361,30185.65858,38.70257,29901.44241,40.33273,29236.13926,37.139946,30304.73437,39.150482,30732.74297
Mauritania,9.61238,1098698.175,11.508354,919172.3096,11.6624155,1341026.619,10.890152,765927.2778,16.321316,1919197.977,17.400463,1563316.103,18.18961,1439727.024,17.476068,1928564.232,18.407001,1929753.708
