Country,2013_energy_consumption,2013_median,2014_energy_consumption,2014_median,2015_energy_consumption,2015_median,2016_energy_consumption,2016_median,2017_energy_consumption,2017_median,2018_energy_consumption,2018_median,2019_energy_consumption,2019_median,2020_energy_consumption,2020_median,2021_energy_consumption,2021_median
Egypt,973.26874,3328080.916,961.9715,3160759.458,976.1081,3186596.199,1030.2607,3106160.592,1070.7452,4084223.156,1071.3456,3875479.851,1051.1061,3868441.418,989.0688,4060655.635,1058.7433,4444227.319
El Salvador,36.514393,50101.81257,37.35043,48434.36635,38.633717,55522.55042,38.950665,48043.54632,38.684814,67414.9437,41.71052,67731.43403,45.666763,65306.81662,42.259533,71678.97644,44.681767,76913.16014
Equatorial Guinea,33.239258,22317.83182,31.289293,18453.25614,27.943586,27170.6056,27.598911,14998.39181,30.995258,41063.80224,28.107082,41351.62277,27.40286,33263.92066,18.08033,43236.54183,20.266384,39513.95845
Eritrea,2.2805402,18496.09519,2.3813727,-3208.269327,2.3641987,19675.90657,2.4062965,-17639.26637,2.643787,99002.65559,3.018665,93146.47609,3.276569,67263.70115,3.1348097,119084.7307,3.3107688,122448.136
Estonia,77.46338,281903.3854,74.16147,229391.6342,68.6264,212031.6659,70.76302,247656.9929,78.48448,276943.4634,77.879,300202.0925,62.760654,324953.562,58.73331,276601.2073,61.401203,359954.4479
Ethiopia,61.418804,239166.6883,69.58626,10902.51958,73.31093,290203.6451,84.99689,-49217.88264,86.0149,925498.6989,91.52436,975122.7617,105.21818,730652.8117,100.7959,1179529.613,104.836815,1252847.478
Fiji,6.8536205,6240.049221,7.2206216,3885.049489,7.5502286,4412.167615,7.4337616,2552.422019,8.07573,19052.57855,8.561964,18123.28313,8.649831,14557.73268,8.312041,22236.78457,8.527583,23957.11044
Finland,341.8005,3578751.847,329.82288,2746600.652,328.8933,3434482.31,334.08334,3637224.114,327.2159,3894566.933,333.84097,3420762.133,326.9818,3883615.214,313.94992,3372994.622,320.63977,4061291.655
France,2924.1458,4546697.656,2796.8435,4762497.458,2822.273,4617221.82,2765.4526,4453251.587,2754.9192,4879317.652,2788.956,4825535.183,2729.5625,4679218.722,2441.1663,4644021.518,2593.6248,4646419.814
Gabon,20.430458,137013.9959,21.331526,86515.91826,20.505322,135383.9373,20.321144,56510.03315,21.514389,261112.8512,19.279465,293148.9845,16.65867,221443.5687,19.182198,298237.5214,18.752058,308198.695
Gambia,2.0487888,6857.988298,2.2650769,5875.509135,2.3181598,6993.431957,2.336837,4623.066044,2.3769746,13621.89248,2.3929524,14426.237,2.440309,11708.83039,2.330364,16733.74042,2.458489,19282.06665
Georgia,61.590626,177189.6391,64.329315,160467.2639,68.213394,140082.3359,72.10096,142628.8199,71.68798,225905.3587,73.12045,204485.779,74.13174,227109.5242,70.41069,253300.5402,78.29672,275016.9532
Germany,3868.517,2782109.264,3710.4646,2812461.545,3780.8599,2791256.808,3841.4512,2719211.196,3888.1333,3208408.125,3787.6824,3303504.618,3694.8396,3233993.665,3443.882,3340023.331,3544.581,3487802.492
Ghana,74.27885,211686.2103,75.372475,181402.2135,82.1962,213658.0166,83.19528,224700.8364,83.3517,438530.3184,96.07844,483347.5516,98.84115,441731.7097,112.12157,598276.4031,114.36937,691787.6427
Greece,328.3033,730089.9322,307.91022,717055.5929,311.72308,698017.278,306.9926,696262.893,322.1973,882015.2733,324.0658,851096.7644,316.8873,889907.363,276.95612,941696.7053,302.5362,999638.0214
Grenada,1.3468796,1876.374248,1.138644,1710.90507,1.1850467,1694.484158,1.2207305,1579.966243,1.3271629,1784.126891,1.3067567,1801.620199,1.3078552,1721.431281,1.1029536,1729.447326,1.1754613,1739.138727
Guatemala,68.00804,150898.99,71.687744,146880.243,80.04745,167641.2654,87.28228,149982.6759,94.63285,240572.9933,97.299934,238972.0284,100.10175,225062.3664,99.5661,263719.4711,100.58174,276940.2799
Guinea,10.857174,108306.2675,11.221065,60175.3309,13.61675,94690.58165,15.340269,49900.24321,15.4381895,265474.8195,14.087817,270034.3011,15.476092,198932.9331,17.914892,307244.8671,17.34148,326508.5256
Guinea-Bissau,1.5058649,11664.22988,1.5821962,4874.747874,1.6366516,12126.44621,1.7039256,3224.478599,1.3791065,32160.40381,1.3856009,34780.08647,1.3854842,25815.82083,1.3230809,39477.68173,1.3957903,42690.75288
Guyana,8.391866,59630.61293,8.370713,34874.98791,8.49344,62794.37817,9.590764,10313.84605,9.509585,185698.8013,9.717782,187355.7195,11.330115,165354.5834,11.014605,226058.0628,11.014605,242750.4353
Haiti,11.038771,16828.7366,11.895988,13570.82978,13.570336,14756.20418,14.088038,10474.35107,13.984254,33137.12406,14.597323,32551.82264,13.217826,26316.78832,11.0476675,34415.67557,11.801085,37564.74903
Honduras,41.480186,137634.0852,45.447643,128528.8294,50.56032,149176.0333,49.596046,120750.6511,52.525883,216147.2883,57.746044,211439.066,56.173466,198206.6653,51.09921,233775.6406,52.285263,235240.1159
Hungary,238.04141,454891.9569,238.26877,464402.5259,251.03966,420851.7728,255.4948,426215.202,269.29346,537295.7814,271.20258,534416.177,274.8925,549390.7057,270.3273,563753.1973,283.95834,634774.7548
Iceland,58.71669,971206.8417,58.62973,1015721.095,61.207317,1313059.579,61.441673,1102416.904,64.24559,1141249.696,66.45856,1011986.4,63.328125,1033499.442,58.08151,1030481.438,60.644577,1033500.03
India,7178.7197,8478819.261,7664.0034,8591901.155,7929.679,9327735.08,8284.972,8869950.944,8600.742,11761540.31,9088.107,12123519.12,9317.351,12174053.94,8828.374,13060047.79,9585.078,13759595.41
Indonesia,1809.8263,1009309.214,1839.6007,1325502.547,1866.1007,1988579.513,1896.8113,1624236.76,1967.7083,2861289.082,2151.6267,3241878.972,2299.6296,3030467.348,2163.7532,3507812.95,2214.0532,3558255.619
Iran (Islamic Republic of),2652.0325,5541435.466,2768.922,5981388.849,2735.8362,6015613.183,2884.797,6643259.308,2995.331,9197694.421,3095.9187,8733572.747,3263.9712,7908336.531,3387.9543,8222811.383,3322.0579,9271964.992
Iraq,470.12567,4171955.083,455.2057,4516198.54,447.09543,5227843.513,485.35147,5573637.022,567.4052,6224434.724,590.49176,6036430.776,639.68274,6111355.031,571.86237,6056934.973,592.7278,6459525.018
Ireland,164.99734,353022.2665,164.55302,406796.5189,173.913,395327.5792,181.63763,380044.2154,182.40254,433410.4028,186.47433,453047.8885,187.35852,442068.1643,176.07672,440447.4702,179.446,451452.8859
Israel,267.18036,614205.8319,260.6474,647988.1235,275.05713,636111.7009,280.5702,659275.9243,285.68524,698132.1352,292.21167,714760.7249,301.50592,732503.1912,285.13525,731849.234,292.04428,791751.8652
Italy,1858.6002,4725955.165,1762.3201,4755603.231,1814.7657,4680055.679,1821.9315,4681601.415,1843.1206,5162888.247,1853.6401,5020791.269,1819.5557,5125500.694,1651.9623,5126108.791,1768.6172,5296248.341
Jamaica,35.42048,55088.30569,34.90134,52724.4998,35.997795,54018.71623,37.267353,53511.85536,33.539192,62854.29505,34.684174,63385.2339,43.29625,64127.5779,34.123722,64904.93953,34.59914,66824.15298
Japan,5575.617,2710902.942,5431.2173,2541432.859,5363.93,2463633.044,5295.605,2406517.409,5354.6772,2889518.421,5316.556,2860563.649,5205.5366,2861899.913,4825.2485,2852036.769,5037.4814,2977955.172
Jordan,98.46778,302460.5289,101.033775,330757.1029,109.15669,341354.4996,116.34625,365407.6022,120.371185,496704.5851,117.50013,532623.6558,120.44836,563954.0632,107.51725,572947.7857,102.37639,627309.6125
Kazakhstan,731.60547,5478111.232,769.1109,5426659.578,635.9098,4106490.035,711.3266,3594316.681,764.92584,7013242.241,789.19745,6057684.913,798.71204,6416270.031,735.9369,6955808.499,822.2053,8021741.705
Kenya,72.58364,174654.7274,75.852745,102208.418,89.5755,253967.0312,94.18906,125237.1436,94.94264,596679.7086,102.26798,626377.7697,99.16891,535453.7217,98.88311,732011.013,103.50374,867198.4473
Kiribati,0.24217412,8.755949164,0.24384083,-44.52652987,0.26302695,24.46157731,0.28223434,-39.41337195,0.3183175,261.7668251,0.32035,263.6684659,0.32211494,211.396111,0.30576795,364.904492,0.31533784,382.7858941
Kuwait,424.3276,592288.9409,413.6533,651805.0824,444.58252,596875.6578,442.9686,642077.9342,445.47583,620821.0347,459.94553,667711.9858,420.26105,653151.6693,397.88113,671166.6733,424.15015,693881.5946
Kyrgyzstan,71.8661,309604.1804,73.127846,275866.5678,65.63956,216964.3909,66.99369,205420.9841,69.38583,449095.0414,73.30649,415800.8658,66.91757,451956.5115,67.0747,497919.6085,60.542263,571778.6772
Lao People's Democratic Republic,47.307285,80828.50237,48.08162,61496.12016,70.62649,108200.3412,120.128654,27333.20357,121.92248,257778.4738,126.88351,227731.7186,131.63283,196681.6931,143.98279,293394.8667,139.94064,292219.9733
Latvia,44.23667,232509.3669,40.747486,223074.2015,41.74564,183516.0957,44.49915,190219.5675,48.978153,275525.1467,43.564484,282914.684,44.83716,305750.6771,40.858128,271136.6189,42.6252,351720.8965
Lebanon,89.2734,163448.2199,91.99911,171315.2103,101.51782,168198.2135,104.42425,183764.8604,111.53107,221376.0282,105.1971,226777.7751,106.661156,229281.0063,103.86615,191598.274,105.31844,143734.036
Lesotho,4.2373376,19811.60466,4.3456836,17731.5773,4.2430806,9881.357777,4.593167,8604.69441,4.89175,36875.30133,4.7961416,34383.02615,4.871765,32278.58267,4.7167816,43039.48559,4.8659377,44345.11035
Liberia,3.6788895,51131.74583,4.844483,28339.09158,4.862246,53420.6682,5.590125,29432.38203,4.831436,96291.01998,5.4881964,112685.9732,5.4879627,77532.30587,5.240454,118473.7553,5.528998,124843.7666
Libyan Arab Jamahiriya,231.87094,1871821.269,226.45312,1666318.857,180.20953,1627699.717,176.38931,1269204.815,199.04042,2976874.267,205.10458,2842169.929,212.98204,2672773.523,186.52736,2773821.863,190.40862,3583269.774
Lithuania,63.415512,243175.6066,61.20458,230558.0722,64.11229,193206.5478,65.726395,203743.2542,69.15024,300537.4842,70.969444,316555.8453,70.59712,319134.7225,70.29448,311901.4723,70.14949,402937.8938
Luxembourg,45.692364,54417.2828,44.27421,51782.15924,43.034466,52358.13979,42.459232,52619.76796,44.354897,55416.23716,46.43095,60500.73602,47.288246,57495.37753,40.540794,59834.05293,43.215237,60918.79113
Madagascar,14.159686,113312.8797,15.377752,75864.98334,16.817646,-9961.228696,17.63125,19364.27577,16.164988,493708.2434,15.560264,456838.5843,18.68685,366289.1175,12.630883,556367.4257,14.678847,628166.5525
Malawi,9.690505,39612.33924,9.974371,28213.40862,9.610899,16675.46032,10.123318,13852.98358,10.431984,123791.4757,9.962464,112161.1605,10.147229,89948.69258,9.751647,131306.5944,9.248383,153848.8921
Malaysia,1086.7379,684227.6008,1097.6155,1011891.627,1114.5746,1094785.367,1172.3032,1088949.895,1188.4774,1350410.759,1209.5756,1473358.266,1240.7814,1410791.013,1196.4292,1544688.358,1246.6495,1448048.755
Maldives,6.577692,109.28774,8.817265,120.3987801,6.5987864,133.8996818,7.0005317,161.1679851,7.2642756,214.5215609,8.336382,216.1797163,9.367838,222.756783,8.90442,223.049445,9.214026,263.5369749
Mali,14.117615,509786.8637,15.7832155,387313.5575,17.25754,479417.9735,21.920076,242190.4802,23.833948,1294145.227,24.793644,1279415.875,25.333214,968904.6939,24.256605,1531249.457,25.59745,1671375.266
Malta,26.145313,22985.85981,26.757277,23347.22375,29.281233,23034.99307,32.549335,23142.86859,37.07361,24406.43763,38.70257,24228.29609,40.33273,24360.3547,37.139946,24742.93414,39.150482,24897.34793
Mauritania,9.61238,515396.0738,11.508354,421433.8003,11.6624155,460909.2722,10.890152,290932.3587,16.321316,1137381.72,17.400463,1115119.331,18.18961,893506.5674,17.476068,1363061.84,18.407001,1489554.666
Mauritius,22.076933,15035.54065,22.75332,14778.23011,23.596943,14287.40012,24.530706,14769.86049,26.913525,17254.31422,28.407331,17653.88943,29.555481,17998.54328,24.976973,18316.48985,25.62087,19329.06003
Mexico,2242.8577,4571800.488,2230.574,4570165.237,2205.4211,4449530.147,2253.398,4151520.857,2293.2642,5915760.088,2265.2773,5954188.739,2241.414,5801260.643,2041.9174,6733713.225,2175.8943,7338779.35
"Moldova, Republic of",44.53569,73565.74752,42.5979,77378.49891,38.07466,58165.64812,38.05067,57841.77558,38.688618,93141.89366,41.25079,98461.22275,41.943604,102242.5578,40.321323,113260.6985,49.003654,140545.6124
Mongolia,58.388344,1499163.404,57.184326,1472080.414,56.871716,1140125.167,59.658356,1042134.536,65.15187,2719235.905,71.14611,2363171.311,78.48155,2528308.023,67.12849,2887573.651,75.01601,3329073.229
Montenegro,14.504869,49052.8443,12.961574,47948.9726,13.335471,46906.46,13.316369,46174.90253,12.434129,62031.3969,13.799068,60316.68226,12.898393,62024.33662,11.286774,63822.48736,11.891775,72152.3018
Morocco,213.97916,844268.8873,217.02507,915783.5445,220.8588,922951.7324,223.32423,944656.4406,233.80072,1338127.696,241.81398,1295879.442,263.84097,1329964.017,242.53397,1451301.521,269.05447,1499014.893
Mozambique,70.08058,201616.9373,77.782234,147482.3177,82.61792,72361.72886,84.95021,27098.43602,85.286446,766720.98,70.11783,686622.3965,74.10616,541814.5388,70.10905,831468.7102,71.891975,939459.0216
Myanmar,103.47361,306302.1473,120.964806,249910.0735,112.87985,396550.1164,129.81372,130878.7922,167.52669,817680.2076,172.26006,809432.2824,169.58122,690925.8161,170.05164,990724.7063,164.88298,1006697.887
Namibia,20.532598,214870.3367,21.837519,181052.5862,22.858814,18281.93484,22.909967,-32341.91704,23.574385,779383.3927,23.27655,699776.1935,22.642365,531105.2005,22.303202,861701.9309,22.134443,866141.9178
Nauru,0.28915864,179.2710623,0.31222987,305.67888,0.33247906,282.9685816,0.3648832,307.5789699,0.28691924,336.8199022,0.33700904,351.9009054,0.27236113,296.5727883,0.2608771,365.7364,0.27083334,392.3360423
Nepal,27.945059,121063.1426,30.193071,115988.267,27.033157,137561.3836,39.73368,77584.54813,45.509377,220010.3808,49.9894,216175.681,49.032063,207996.9528,49.24105,266022.4977,48.285286,295208.5839
Netherlands,1062.885,1649483.542,1016.3307,1604848.885,1026.0321,1491838.517,1044.014,1530388.395,1052.2062,1510463.525,1026.7698,1526103.951,1022.32947,1491015.548,990.14575,1394856.957,1014.6149,1338446.467
New Zealand,239.56792,307233.1342,250.67665,283003.9039,252.19344,264209.9745,255.68533,229909.0639,259.8468,509629.523,258.47,479207.5453,263.68475,417793.3572,239.25703,524403.2465,235.5494,531624.1896
Nicaragua,24.426323,80423.30481,25.913784,61746.63565,28.355658,81651.03407,28.442665,59709.38497,28.35997,151680.7404,28.144852,157287.2743,28.157967,139684.0861,28.629322,190353.2823,29.219433,193495.2547
Niger,10.34247,475508.0379,9.81472,313795.0314,10.3649645,414477.438,9.681235,148851.3057,9.415173,1143161.245,10.389251,1109632.103,10.982877,858883.8401,10.765667,1388381.417,10.34748,1434488.42
Nigeria,444.87653,1038587.017,485.73407,777484.1631,459.22278,1054309.036,469.5742,630232.1015,456.4197,1510099.483,488.3947,1662208.022,504.77087,1355188.688,509.3741,1790493.046,543.7368,1717818.241
